Topics,Topic Text,distributions,Unique Words,Text
"[(6, 0.97676384)]","(6, '0.020*""great"" + 0.012*""energy"" + 0.010*""friendly"" + 0.008*""really"" + 0.007*""fantastic""')","[(6, 0.9767626)]",,We hired the Caversham Princess as our wedding transport back in July this year and couldn't have been more pleased! The Thames Rivercruise team were amazing to deal with from start to finish and even despite the poor weather conditions on the day the journey was extremely smooth and enjoyable. All our guests commented on how great the boat and the team were. Thank you so much! Jess & Russell
"[(5, 0.9790394)]","(5, '0.009*""good"" + 0.008*""great"" + 0.007*""cruise"" + 0.007*""staff"" + 0.007*""mosque""')","[(5, 0.97903925)]",,"Following a phone call to Laura we booked a Sunday lunch cruise, everything was very well organised. We had a lovely relaxing time taking in the views, also heard some interesting stories shared by a crew member. Lunch was delicious. One of our party had mobility issues and all of the staff were so helpful and friendly. I highly recommend. Ths was our second cruise and we'll definately come again."
"[(5, 0.96093494)]","(5, '0.009*""good"" + 0.008*""great"" + 0.007*""cruise"" + 0.007*""staff"" + 0.007*""mosque""')","[(5, 0.96093273)]",,"2nd time we go on this cruise with the Sunday Lunch roast dinner and we loved it! The staff is very friendly, the food is delicious with big portions, the view is amazing and we like the tour too! Highly recommend it!"
"[(0, 0.36815652), (1, 0.6094584)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(0, 0.3681485), (1, 0.60946643)]",,Had my hen party with city centre cruises and would definitely use them again. Made it really easy to book and dropped decorations off which they set up in the boat for me. Really nice staff and amazing food. The dj and karaoke is well worth getting. Thank you so much for a brilliant night x
"[(5, 0.9915026)]","(5, '0.009*""good"" + 0.008*""great"" + 0.007*""cruise"" + 0.007*""staff"" + 0.007*""mosque""')","[(5, 0.9915026)]",,"⭐⭐⭐⭐⭐

My recent experience with City Centre Cruises in Manchester was nothing short of exceptional! From the moment we stepped aboard Emmeline Pankhurst, it was evident that this was going to be an unforgettable journey.

Firstly, the food was outstanding! A delectable selection that not only tantalized the taste buds but also showcased the culinary expertise of the onboard chefs.

Yet, what truly made this experience extraordinary was the impeccable hospitality provided by Amon and Sarah. They epitomized cruise hospitality at its finest! Their warmth, attentiveness, and genuine care for every guest onboard added an extra layer of delight to the entire cruise.

Amon and Sarah's professionalism and friendliness were unparalleled. They effortlessly catered to every need, ensuring everyone felt welcomed and pampered throughout the journey. Their knowledge about the cruise, coupled with their enthusiasm, enhanced the overall experience significantly.

The ambiance onboard was delightful, the views of Manchester from the cruise were stunning, and the service was top-notch. But it was truly Amon and Sarah who elevated this experience to something truly memorable."
"[(1, 0.15405416), (2, 0.79821974)]","(2, '0.010*""great"" + 0.009*""good"" + 0.007*""staff"" + 0.007*""time"" + 0.006*""hours""')","[(1, 0.15412873), (2, 0.7981452)]",,"Must have when you visit Birmingham. The guide telling the history of the canals was an authentic and great storyteller, we enjoyed every minute of this experience."
"[(1, 0.9723089)]","(1, '0.017*""river"" + 0.011*""really"" + 0.010*""trip"" + 0.008*""tour"" + 0.008*""boat""')","[(1, 0.97230893)]",,"Excellent boat trip. Alan the ""tour guide"" gave a very informative and highly entertaining commentary of the canal way of life.
I will always look at canal bridges & canal banks from a new perspective, if you want to know why, .....go on his tour!!
Highly recommend and a bargain price."
"[(1, 0.38058478), (3, 0.5716998)]","(3, '0.019*""helpful"" + 0.018*""staff"" + 0.013*""recycling"" + 0.012*""great"" + 0.010*""clean""')","[(1, 0.380317), (3, 0.57196754)]",,"Excellent tour, very reasonably priced and the guided commentary was fantastic. The guide is obviously a very well-informed history buff! Highly recommend."
"[(4, 0.96265423)]","(4, '0.012*""food"" + 0.011*""good"" + 0.010*""great"" + 0.009*""pasta"" + 0.007*""staff""')","[(4, 0.9626543)]",,"Fab 2 hour tour with family down the canal.The barge was clean,staff organised and very helpful. We had afternoon tea and prosecco. Sandwiches were tasty and fresh,nice selection of cakes.We loved the 60's music playing in the background too.Recommended."
"[(2, 0.9795363)]","(2, '0.010*""great"" + 0.009*""good"" + 0.007*""staff"" + 0.007*""time"" + 0.006*""hours""')","[(2, 0.979537)]",,"As long as you realise you are NOT on  the ocean but are on a canal, it's actually a great little journey.
The catering is good, you can drink as much tea or coffee as you want.
The scenery included some rural images with newly born lambs along the canal bank playing with each other at the time of our trip being the highlight.
All in all, a thoroughly enjoyable 2 hours especially with the staff being so friendly, helpful and always very alert to your requests and wishes!(within reason)"
"[(2, 0.98636633)]","(2, '0.010*""great"" + 0.009*""good"" + 0.007*""staff"" + 0.007*""time"" + 0.006*""hours""')","[(2, 0.9863668)]",,"Stumbling across Georgie’s by happenstance and never having been on a barge before I booked a two hour afternoon tea cruise.

The experience was delightful from booking right through to the excursion itself. Having adopted a gluten free approach in between making the booking and the trip itself, Jess couldn’t have been more helpful in making the change.

On the day, the setting in the boat was lovely, the food exceeded expectations and the service was spot on. Two hours just flew by and it was a very relaxing outing. I’m six feet tall and any anxieties that I had about being squashed in were completely unnecessary as the seating and space was appropriate and very adequate. Looking forward to another trip and a different theme soon."
"[(0, 0.05619067), (6, 0.9386941)]","(6, '0.020*""great"" + 0.012*""energy"" + 0.010*""friendly"" + 0.008*""really"" + 0.007*""fantastic""')","[(0, 0.056187913), (6, 0.938697)]",,"I cannot express enough how fantastic my experience has been at Factory. From the moment I walked through the doors, I felt welcomed and encouraged. Adam and the other coaches here are not just experts in BJJ but also fantastic teachers. They break down complex techniques into manageable steps, making it accessible for beginners while challenging advanced practitioners to push their limits.

The facilities are superb. It's clean, well-maintained, and has all the equipment you could possibly need. They've created a safe and inclusive environment where people of all skill levels and backgrounds can come together to learn and grow.

What I think sets Factory apart is the sense of camaraderie among the members. Everyone is genuinely supportive and willing to help each other improve. It might sound cheesy but It's not just a gym, it's a family. Training here has not only improved my physical fitness but also my mental resilience and confidence.

The class schedules are flexible, with days and evening classes accommodating even the busiest of schedules. Whether you're a working professional, a student, or a parent, you'll find a suitable class time.

In addition to regular classes, Factory offers various seminars and special events. These are incredible opportunities to learn from world-class instructors and deepen your knowledge of Brazilian Jiu-Jitsu.

If you're considering learning BJJ, I highly recommend giving Factory a try. I'm proud to be a part of this incredible community, and I look forward to many more years of training and growth here."
